Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV01.54EC,large car,6,30,37,33,6,No,269
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHNXV01.54EC,large car,6,30,37,33,6,No,269
ACURA Integra,2,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHNXV02.0TDC,large car,5,21,28,24,5,No,371
ACURA Integra,2,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SHNXV02.0TDC,large car,5,21,28,24,5,No,371
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHNXV01.55DC,large car,5,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SHNXV01.55DC,large car,5,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV01.54EC,large car,6,29,36,32,6,No,277
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHNXV01.54EC,large car,6,29,36,32,6,No,277
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.5CCC,small SUV,4,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SHNXT03.5CCC,small SUV,4,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.5CCC,small SUV,4,19,25,21,4,No,423
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SHNXT03.5CCC,small SUV,4,19,25,21,4,No,423
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.0HTC,standard SUV,4,17,21,19,4,No,474
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SHNXT03.0HTC,standard SUV,4,17,21,19,4,No,474
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV02.0AEC,small car,6,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHNXV02.0AEC,small car,6,22,31,25,5,No,352
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV02.0AEC,small car,6,21,29,24,5,No,371
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHNXV02.0AEC,small car,6,21,29,24,5,No,371
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXV03.0BCC,small car,4,19,25,21,4,No,420
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SHNXV03.0BCC,small car,4,19,25,21,4,No,420
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,midsize car,4,24,33,27,5,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SCRXJ02.05P2,midsize car,4,24,33,27,5,No,330
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,midsize car,4,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SCRXJ02.05P2,midsize car,4,23,31,26,5,No,348
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,small SUV,4,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SCRXJ02.05P2,small SUV,4,22,28,24,5,No,364
ALFA ROMEO Tonale eAWD,1.3,4,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV50,California LEV-III ULEV50,SCRXV01.35PH,small SUV,5,29/77,29/77,29/77,9,No,120
ALFA ROMEO Tonale eAWD,1.3,4,Auto-6,4WD,Gasoline/Electricity,FA,T3B50,Federal Tier 3 Bin 50,SCRXV01.35PH,small SUV,5,29/77,29/77,29/77,9,No,120
ASTON MARTIN DB12 V8,4,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,small car,4,15,22,17,3,No,507
ASTON MARTIN DB12 V8,4,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SASXJ04.0AEX,small car,4,15,22,17,3,No,507
ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,standard SUV,4,15,20,17,3,No,537
ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SASXJ04.0AEX,standard SUV,4,15,20,17,3,No,537
