Week,amazon: (Google Shopping),amazon: (News search),tax: (News search),amazon: (Youtube search),Open,High,Low,Close ,Adj Close ,Volume
2015-12-27,84,18,5,28,33.28,34.82,33.28,33.79,33.79,"335,744,000"
2016-01-03,77,18,7,22,32.81,32.89,30.26,30.35,30.35,"661,082,000"
2016-01-10,76,18,6,23,30.62,31.3,28.26,28.51,28.51,"645,868,000"
2016-01-17,75,18,6,23,28.85,30,27.36,29.82,29.82,"456,918,000"
2016-01-24,75,18,8,22,29.9,31.9,28.5,29.35,29.35,"840,150,000"
2016-01-31,74,17,9,21,28.91,29.09,24.96,25.11,25.11,"772,476,000"
2016-02-07,78,16,9,24,24.32,25.84,23.7,25.35,25.35,"729,436,000"
2016-02-14,76,16,7,23,25.97,27.06,25.58,26.75,26.75,"393,044,000"
2016-02-21,74,15,9,21,27.11,28.13,26.66,27.76,27.76,"505,032,000"
2016-02-28,76,15,11,23,27.7,29.25,27.63,28.76,28.76,"398,478,000"
2016-03-06,72,15,8,24,28.68,28.68,27.4,28.48,28.48,"434,508,000"
2016-03-13,73,14,9,23,28.35,29.08,27.3,27.6,27.6,"481,874,000"
2016-03-20,68,17,7,22,27.45,29.18,26.93,29.15,29.15,"366,510,000"
2016-03-27,73,16,7,24,29.22,30.16,28.78,29.92,29.92,"340,076,000"
2016-04-03,70,19,9,23,29.95,30.12,29.26,29.73,29.73,"268,210,000"
2016-04-10,77,24,11,22,29.81,31.34,29.62,31.29,31.29,"319,470,000"
2016-04-17,71,17,9,23,31.27,31.9,30.58,31.02,31.02,"374,128,000"
2016-04-24,74,21,6,22,30.83,33.5,29.96,32.98,32.98,"549,128,000"
2016-05-01,74,15,6,23,33.2,34.28,32.8,33.7,33.7,"507,736,000"
2016-05-08,76,16,6,23,33.7,36.12,33.57,35.5,35.5,"544,752,000"
2016-05-15,73,16,6,23,35.51,35.72,34.44,35.14,35.14,"415,586,000"
2016-05-22,74,15,5,21,35.21,35.83,34.82,35.61,35.61,"271,850,000"
2016-05-29,73,16,6,26,35.62,36.41,35.57,36.28,36.28,"265,506,000"
2016-06-05,74,15,6,22,36.33,36.58,35.71,35.9,35.9,"265,134,000"
2016-06-12,75,16,5,24,35.7,36.13,34.96,35.32,35.32,"351,286,000"
2016-06-19,74,16,6,24,35.67,36.11,34.61,34.95,34.95,"370,654,000"
2016-06-26,75,16,6,24,34.6,36.4,34.11,36.28,36.28,"369,012,000"
2016-07-03,76,16,6,25,36.14,37.31,35.98,37.29,37.29,"254,892,000"
2016-07-10,77,19,6,27,37.5,37.87,36.7,36.77,36.77,"369,464,000"
2016-07-17,77,15,6,24,36.77,37.56,36.44,37.24,37.24,"239,610,000"
2016-07-24,77,18,8,24,37.33,38.3,36.64,37.94,37.94,"450,336,000"
2016-07-31,78,16,8,27,37.99,38.53,37.52,38.3,38.3,"332,912,000"
2016-08-07,78,15,7,24,38.34,38.69,38.05,38.63,38.63,"180,994,000"
2016-08-14,80,14,6,27,38.6,38.6,37.84,37.87,37.87,"188,324,000"
2016-08-21,76,16,6,26,37.88,38.5,37.6,38.45,38.45,"186,946,000"
2016-08-28,77,16,7,26,38.44,38.8,38.2,38.62,38.62,"190,314,000"
2016-09-04,73,16,6,26,38.7,39.54,38.01,38.01,38.01,"248,644,000"
2016-09-11,75,18,7,30,37.87,39.02,37.8,38.93,38.93,"345,962,000"
2016-09-18,77,16,7,27,39,40.39,38.55,40.29,40.29,"267,708,000"
2016-09-25,76,18,8,26,40.09,42,39.86,41.87,41.87,"404,918,000"
2016-10-02,74,21,11,31,41.8,42.36,41.51,41.97,41.97,"285,980,000"
2016-10-09,75,19,7,25,42.16,42.26,41.06,41.15,41.15,"277,738,000"
2016-10-16,75,19,6,28,41.08,41.16,40.15,40.95,40.95,"278,194,000"
2016-10-23,78,20,6,25,41.25,42.15,38.73,38.82,38.82,"591,098,000"
2016-10-30,72,18,6,28,39.05,40.04,37.66,37.75,37.75,"494,796,000"
2016-11-06,78,18,10,28,38.58,39.59,35.88,36.95,36.95,"746,594,000"
2016-11-13,79,21,11,31,37.28,38.39,35.51,38.01,38.01,"515,788,000"
2016-11-20,87,26,9,40,38.3,39.62,38.26,39.02,39.02,"306,066,000"
2016-11-27,86,27,10,40,38.85,38.85,36.83,37.02,37.02,"411,286,000"
2016-12-04,85,23,8,49,37.25,38.69,37.1,38.43,38.43,"349,096,000"
2016-12-11,84,25,9,43,38.32,39.12,37.7,37.89,37.89,"447,082,000"
